timeOpen,marketCap
2024-03-10 00:00:00+00:00,1356284493147.36
2024-03-09 00:00:00+00:00,1346014614977.61
2024-03-08 00:00:00+00:00,1341992893970.51
2024-03-07 00:00:00+00:00,1315182056071.44
2024-03-06 00:00:00+00:00,1298635184349.89
2024-03-05 00:00:00+00:00,1252930339355.95
2024-03-04 00:00:00+00:00,1342332633739.21
2024-03-03 00:00:00+00:00,1240856664934.87
2024-03-02 00:00:00+00:00,1218449164616.58
2024-03-01 00:00:00+00:00,1226468270480.94
2024-02-29 00:00:00+00:00,1202008882583.53
2024-02-28 00:00:00+00:00,1227615937615.29
2024-02-27 00:00:00+00:00,1121125657664.09
2024-02-26 00:00:00+00:00,1070743961954.77
2024-02-25 00:00:00+00:00,1015926591604.23
2024-02-24 00:00:00+00:00,1012689168467.94
2024-02-23 00:00:00+00:00,996165857694.38
2024-02-22 00:00:00+00:00,1007369631450.12
2024-02-21 00:00:00+00:00,1017814980562.83
2024-02-20 00:00:00+00:00,1026519013526.24
2024-02-19 00:00:00+00:00,1016544621994.0
2024-02-18 00:00:00+00:00,1023243073518.32
2024-02-17 00:00:00+00:00,1014181383158.99
2024-02-16 00:00:00+00:00,1023893671410.46
2024-02-15 00:00:00+00:00,1019499948270.3
2024-02-14 00:00:00+00:00,1017254026224.34
2024-02-13 00:00:00+00:00,976299863551.89
2024-02-12 00:00:00+00:00,980490999415.43
2024-02-11 00:00:00+00:00,947774152969.59
2024-02-10 00:00:00+00:00,937476684153.25
2024-02-09 00:00:00+00:00,925184504544.07
2024-02-08 00:00:00+00:00,888921474480.5
2024-02-07 00:00:00+00:00,869585299010.09
2024-02-06 00:00:00+00:00,845338495831.28
2024-02-05 00:00:00+00:00,836936067591.3
2024-02-04 00:00:00+00:00,835421763160.27
2024-02-03 00:00:00+00:00,843398823395.77
2024-02-02 00:00:00+00:00,847154029604.95
2024-02-01 00:00:00+00:00,844943939979.73
2024-01-31 00:00:00+00:00,835231465697.41
2024-01-30 00:00:00+00:00,842451754278.67
2024-01-29 00:00:00+00:00,848995300207.95
2024-01-28 00:00:00+00:00,824387868796.11
2024-01-27 00:00:00+00:00,826001135532.44
2024-01-26 00:00:00+00:00,820011355201.19
2024-01-25 00:00:00+00:00,783046781497.74
2024-01-24 00:00:00+00:00,785809931670.85
