Month,Gold Ounces,Gold Volume,Gold Transfers,Silver Ounces,Silver Volume,Silver Transfers,name,open,high,low,close,BTC Volume,marketCap,timestamp
2014-08,18.0,23.3,"5,198",121.0,2.4,709,BTC,586.2020263672,598.116027832,443.8510131836,477.7630004883,0.0,6312801959.75,2014-08-31T23:59:59.999Z
2014-07,17.9,23.5,"4,184",121.7,2.55,719,BTC,641.3909912109,657.8579711914,564.5109863281,586.2349853516,0.0,7670841007.38,2014-07-31T23:59:59.999Z
2014-06,17.9,22.9,"4,049",163.4,3.23,843,BTC,623.6929931641,674.1110229492,549.8209838867,639.7969970703,0.0,8296103744.68,2014-06-30T23:59:59.999Z
2014-05,19.0,24.4,"4,744",136.9,2.65,898,BTC,447.6329956055,624.7150268555,423.2510070801,623.6770019531,0.0,8007248675.68,2014-05-31T23:59:59.999Z
2014-04,19.6,25.4,"4,728",122.1,2.41,732,BTC,457.0,542.3779907227,351.2720031738,447.6449890137,0.0,5690810164.88,2014-04-30T23:59:59.999Z
2014-03,18.9,25.3,"4,738",134.0,2.78,779,BTC,549.9199829102,702.9099731445,443.3649902344,457.0010070801,0.0,5752294437.05,2014-03-31T23:59:59.999Z
2014-02,17.8,23.2,"4,503",185.7,3.87,907,BTC,828.6099853516,853.5200195313,420.4100036621,549.2600097656,0.0,6843353923.5,2014-02-28T23:59:59.999Z
2014-01,16.8,20.9,"3,770",144.7,2.88,733,BTC,754.9699707031,1017.1199951172,754.9699707031,829.9199829102,0.0,10238411820.0,2014-01-31T23:59:59.999Z
2013-12,20.0,24.5,"4,741",168.0,3.29,828,BTC,1128.9200439453,1156.1199951172,420.5100097656,754.0100097656,0.0,9191325349.25,2013-12-31T23:59:59.999Z
2013-11,17.5,22.3,"3,721",110.5,2.29,764,BTC,203.8999938965,1156.1400146484,201.6499938965,1129.4300537109,0.0,13620389320.8,2013-11-30T23:59:59.999Z
2013-10,17.4,22.9,"4,815",110.1,2.41,769,BTC,132.6799926758,217.4199981689,102.25,204.0,0.0,2433658800.0,2013-10-31T23:59:59.999Z
2013-09,18.5,25.0,"5,034",137.4,3.1,902,BTC,135.1399993896,146.5,118.4599990845,133.0,0.0,1566038425.0,2013-09-30T23:59:59.999Z
2013-08,22.2,29.9,"5,172",122.4,2.67,"1,096",BTC,106.2129974365,140.8899993896,101.2109985352,135.3500061035,0.0,1574672051.25,2013-08-31T23:59:59.999Z
2013-07,23.2,29.8,5613,122.7,2.4,862,BTC,97.5100021362,111.34400177,65.5260009766,106.0899963379,0.0,1218777833.5,2013-07-31T23:59:59.999Z
2013-06,29.0,38.9,4624,153.3,3.2,900,BTC,128.8150024414,129.7799987793,88.5,96.6139984131,0.0,1096957771.35,2013-06-30T23:59:59.999Z
2013-05,28.2,39.8,5088,142.6,3.3,1027,BTC,139.0,139.8899993896,79.0999984741,129.0,0.0,1447870200.0,2013-05-31T23:59:59.999Z
2013-04,24.1,35.8,5395,165.2,4.2,1007,BTC,135.3000030518,147.4880065918,132.1000061035,139.0,0.0,1542813125.0,2013-04-30T23:59:59.999Z
